231500,233000,230000,20941,232500
231000,233000,229000,184464,231000
229000,233000,226500,136012,231500
233000,234500,227500,172507,227500
236500,237000,229000,245289,234000
239500,239500,235000,121484,238500
231500,239000,231500,226735,239000
236000,237000,231500,129783,233000
237500,239500,233500,157208,234500
236500,238500,235500,176268,236500
230000,238000,229000,296054,237500
229000,231500,228000,121072,229000
233000,235000,229000,204461,229000
232000,233000,228000,212733,229500
235500,237000,232000,209404,233000
235000,237500,234500,141762,237500
236000,238500,231500,241991,234500
234000,236000,232500,183144,233500
237000,239500,234000,187333,236500
233000,238500,233000,306218,238500
236000,236500,231500,197685,234000
237500,239000,228000,469713,237000
232500,235000,231000,242648,235000
229000,231000,226000,375832,230000
230000,232500,223500,212532,225000
225000,229500,222000,329844,228500
217000,225000,216500,276974,225000
208000,215000,207500,452930,213500
206500,208000,201500,367761,203500
208000,213500,205500,628907,208500
214500,219000,213500,119234,216000
214500,218000,213000,232780,215500
214000,215500,210500,171103,215000
211000,214000,209500,140341,213000
207000,213000,207000,252512,210000
215000,217000,208000,231142,208000
221000,221500,215500,212412,216000
214500,222500,213500,284353,221000
215500,218000,212500,417105,213500
218500,224000,216500,191178,219000
222500,225000,215000,389312,221500
236500,238000,222000,725606,222000
236000,239000,235000,195769,239000
235500,239500,235000,262252,239000
236500,239000,236000,196099,239000
234000,237000,231500,241833,236500
228000,234000,228000,179456,234000
229500,230000,226500,250366,229000
226000,232000,226000,214129,230000
227000,229500,223000,361216,228500
231500,234000,230000,257817,230000
230000,234500,229500,176618,233000
230500,231000,228000,151938,229500
232000,235000,226500,288102,227500
228000,229000,226000,159614,228000
229500,230000,225000,238374,228000
226000,229500,225000,312544,229000
222000,226500,221500,465869,226500
219000,221500,218000,249980,220500
222500,223500,220000,364801,220000
220000,220500,217500,147734,218500
219500,219500,216500,229109,218000
219500,222000,218000,233443,220000
218500,218500,216500,208763,217500
218000,219500,215500,249698,216500
212000,215000,209500,253624,214500
208500,215000,208000,291896,211500
208500,211000,206500,323454,210000
209000,211500,207500,259557,209500
209500,212000,207500,451571,209000
217500,219000,213500,382914,214500
217000,222000,214500,1179042,218000
209500,213500,208500,496654,210000
211000,211000,207000,509906,209500
212000,213500,209000,622951,211500
218500,218500,211000,824142,212000
215500,219000,213500,438178,218000
220500,221000,214000,481531,215500
220500,221000,215000,350400,217500
221000,224000,218000,364236,220500
232000,233500,222000,494256,224500
237000,237000,228000,486809,230500
241500,241500,237000,372829,238500
241000,244000,236000,389523,237500
240500,241000,237500,318688,239000
245000,247500,239000,255796,240500
241500,246000,241000,274017,245500
243000,243000,236000,450936,241000
246500,246500,242000,315655,243500
247500,249000,244000,331080,248000
238000,245000,237000,448850,245000
239500,240000,234000,310514,236000
238500,240500,236000,398668,240500
238500,242000,236000,402745,238500
237000,241000,235000,360752,236500
240000,242500,234500,249074,236500
238000,245000,237500,350405,238500
230000,241000,230000,692664,240000
224000,228500,224000,287383,227000
229000,230000,225000,324592,228000
230000,233500,226500,391118,229000
233500,233500,226000,730017,232000
224500,232500,223500,389228,232500
229000,230000,225000,469060,225500
228000,233500,228000,230664,230500
236500,237500,229000,262273,229000
233000,236500,228500,257564,236500
233000,238500,230000,339781,232500
236500,240000,233500,279141,240000
232000,238000,231000,309743,236500
229500,234000,228000,192426,232000
227500,232000,226500,246538,231000
226000,228500,224000,277278,227000
220500,227000,219000,455066,226500
218000,219500,213000,310061,218500
209000,219500,208500,549913,217000
201500,204000,194000,474274,201000
222000,224000,208500,345548,210500
221000,223000,216000,195928,219000
226000,226500,219000,311555,220500
213500,224500,213500,440953,218000
222000,223000,215000,309873,218500
211500,222500,211500,706872,221000
209000,213000,207000,294353,210000
204000,213000,203500,336919,211000
202500,207000,201500,229498,202500
215000,215500,203000,459055,205500
211000,218000,209500,656263,216000
206500,210500,203500,421767,208500
206000,207500,202000,278367,203500
204500,206000,201000,266379,204000
210000,212000,207500,205321,208000
216500,217000,206000,376562,208000
213500,217000,212000,224291,216500
221000,223500,217000,440517,218500
210500,214500,206000,407748,206500
213500,215000,208500,277132,209500
210000,210000,206000,227915,209000
209000,210500,203500,399162,209500
199500,207500,199000,328729,206000
208000,209500,200000,485282,201500
211000,211000,207500,231947,208500
202500,211000,200000,559824,210500
218000,218500,207000,594077,209000
222500,224000,219500,269773,220000
215500,223000,213500,254921,222000
216000,220500,216000,269948,217500
212500,217500,208000,480455,216000
213000,219500,211000,426379,219000
229000,229000,215500,698588,216500
235000,237000,229000,456112,229000
233000,235500,227500,280171,229500
238000,238500,230500,265428,234500
230500,234500,226000,600951,234500
239500,241000,227500,490359,228500
237000,238000,230000,346165,235500
228000,238000,222000,519730,235000
238000,239500,226000,644243,229000
233500,235500,218000,676184,232000
214000,229500,214000,676719,229500
240000,241500,219500,811416,222500
251000,251000,236000,514080,239500
248500,254000,244000,285410,252500
252500,256500,250500,265114,252500
251000,255000,248000,277392,250500
245500,249500,242500,188273,243500
244000,249500,241000,283646,243500
228500,245000,228500,516051,244000
230000,234500,226500,419946,227000
242500,243000,232500,341200,238500
235500,247500,234000,356685,239000
250000,252500,241000,390712,244000
254500,259000,250000,229183,250000
259500,261000,251000,317594,252500
261500,262000,254500,335811,258500
262000,263500,257500,358058,261000
256500,257000,252000,298991,256000
255000,258500,251500,297512,253500
257000,258500,253500,355187,256500
243000,255000,240500,428081,255000
242000,248000,241500,251884,245000
245000,248000,238000,571739,238500
251500,254000,241500,409317,247500
246000,255000,245500,498612,249500
238000,244500,238000,218309,244000
242000,244500,235500,362020,239000
240500,245000,237500,280531,242000
246000,246000,240500,301486,242500
244500,245000,241500,270820,245000
235000,240000,232000,284273,236000
235500,239000,233000,297809,235500
232000,236000,229500,356040,235500
234500,239000,230000,427115,230000
226000,234000,224500,394144,233000
218500,225000,217500,204084,224000
216000,221000,214500,196747,219500
217500,218500,214000,217180,215500
209000,218000,207500,318915,217000
218000,219500,213000,173818,213500
210000,217500,210000,250060,216500
216000,216000,211000,216559,214500
213000,217000,211500,303402,215000
228000,228000,212500,625069,213500
226000,230000,222500,318853,228500
227000,229500,225000,225652,225500
223000,227000,223000,168539,226500
232000,233000,224000,302011,225000
226500,232000,225000,321154,226500
230000,233000,224000,313975,226000
227500,233000,224500,324057,229000
237000,240500,225000,621510,228000
230500,236000,229000,270918,234500
230500,232500,226500,326994,231500
229000,238500,227500,455816,230000
221000,228500,220000,302173,228000
229000,231000,219000,440882,220500
227500,239000,226500,377469,235000
231500,235000,226500,254611,227000
229000,231500,225500,195158,228500
238000,238000,226500,303560,229000
235000,244000,234000,439815,237000
223000,235000,223000,454859,233500
223000,229000,223000,284263,225000
236500,236500,224500,372521,228500
230500,237500,229500,420448,232500
212500,216000,207000,264247,215000
213000,218000,212000,159798,213000
219500,224000,207500,427152,212500
215000,220000,212500,280539,214000
219500,220500,210000,594795,214000
223000,223500,218500,270729,220000
224000,230500,223500,290414,225500
220500,227000,220000,293594,224000
226500,228000,225000,228996,225500
231500,232000,225000,368767,226000
217000,233000,217000,454949,229000
222000,225500,215500,531324,216000
235500,236000,220500,646476,223000
233000,237000,231000,635346,235500
230000,235000,227000,529005,227000
226500,230000,225000,485510,230000
220500,226000,220000,361724,224000
221500,226000,221000,401108,225500
217500,218000,213000,327625,215000
209000,219000,208500,610620,219000
201000,210500,200000,357994,209000
206500,206500,200500,466438,200500
209000,210000,203500,343970,206000
211000,211500,207500,316690,211500
207000,211000,203500,271231,209000
204500,208500,202000,428069,207000
202000,206500,200000,266881,204500
195000,199000,192500,188601,198000
201500,201500,194000,225423,195000
199000,204500,198000,396906,200000
194000,197500,192500,133710,196000
199000,199000,193000,222045,196000
193000,201500,192000,456025,200000
193500,193500,189500,180729,191000
190000,192500,189000,395033,190500
183000,192500,182000,324011,191000
183000,183500,180000,318547,180500
185500,188500,184500,463265,186500
184500,185000,181000,234717,183000
180000,184500,180000,164700,183500
179500,183000,179500,176874,180500
176000,181500,175500,250411,178500
182000,182000,174500,442091,176000
188000,188500,182000,286740,182500
187000,189500,186000,161518,188000
192000,192000,188000,230395,189500
194000,194500,192000,150286,192000
192000,194500,190000,146298,193000
194000,195500,191500,168140,192500
191500,196000,191000,441237,192500
189000,192000,187000,374912,189500
191000,192500,186000,279502,187000
190500,191000,184000,349119,186000
191000,193000,190000,143533,191500
190500,194000,189500,238497,191000
197000,197500,189000,363317,189500
197000,199000,193500,287353,197500
200000,204000,199000,583028,199500
194500,195000,192500,227870,192500
197000,197500,190000,447080,191000
199000,199000,196000,413634,197000
204000,205500,200000,277273,201000
201000,203000,196500,251989,201500
204000,210000,203500,355010,208000
208000,208000,203000,364147,204500
203500,209000,201500,289067,208500
214500,215000,205000,635991,206000
215500,217000,211000,498717,215500
210500,215000,207000,633572,214500
205500,212500,204000,953548,206500
199000,203500,199000,403440,202000
202000,206000,199500,598690,202500
179000,182000,178500,335895,182000
179500,182500,177000,318101,178000
172500,179500,172000,378661,179500
172000,173500,170000,168451,170000
169500,172000,168500,249335,170500
174000,174500,170000,380856,171000
178000,179500,175000,298657,175500
184000,184000,175500,329449,177000
180500,183000,180000,179995,182000
